Nested Sampling Global Log-Evidence           :   -0.287822858354395930E+04  +/-    0.143887322909777349E+00
Nested Importance Sampling Global Log-Evidence:   -0.287881654154958733E+04  +/-    0.152645092620688969E-01

Dim No.       Mean        Sigma
   1    0.201574957907443553E+01    0.580498345363389512E+00
   2    0.566498941356851589E+02    0.260741090465973178E-01
   3    0.241764571792640304E+02    0.242876852811931519E-01
   4    0.117487389422300859E+01    0.126781803688110900E+00
   5    0.127852108431455136E+02    0.139244376206703113E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.185645483787036758E+01
   2    0.566546544788086806E+02
   3    0.241675812114639328E+02
   4    0.117973318424839246E+01
   5    0.122433462564438731E+02

MAP Parameters
Dim No.        Parameter
   1    0.185645483787036758E+01
   2    0.566546544788086806E+02
   3    0.241675812114639328E+02
   4    0.117973318424839246E+01
   5    0.122433462564438731E+02
