Nested Sampling Global Log-Evidence           :   -0.280888233751430744E+04  +/-    0.170901872231232266E+00
Nested Importance Sampling Global Log-Evidence:   -0.280962642604921984E+04  +/-    0.265545793728719295E-01

Dim No.       Mean        Sigma
   1   -0.255305933064812404E-01    0.332703531461595314E-01
   2    0.362963575310198475E-01    0.307738178490388967E-01
   3    0.247481517566122822E+01    0.142935330957372964E+01
   4    0.150642543673691720E+01    0.821721409624990629E+00
   5    0.364267292874510584E+01    0.890165386682342463E+00
   6    0.784786186046360856E+00    0.123882802969396438E+00
   7    0.321113848991157713E+01    0.543875622396007730E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.381759002123099878E-02
   2    0.448854458271675805E-01
   3    0.787536492056917448E+00
   4    0.210220714281833754E+01
   5    0.368072153475177188E+01
   6    0.778049053288976888E+00
   7    0.336158911356224088E+01

MAP Parameters
Dim No.        Parameter
   1   -0.381759002123099878E-02
   2    0.448854458271675805E-01
   3    0.787536492056917448E+00
   4    0.210220714281833754E+01
   5    0.368072153475177188E+01
   6    0.778049053288976888E+00
   7    0.336158911356224088E+01
