Nested Sampling Global Log-Evidence           :   -0.504413434886834057E+04  +/-    0.147773890582568346E+00
Nested Importance Sampling Global Log-Evidence:   -0.504454926124204485E+04  +/-    0.123357627720373699E-01

Dim No.       Mean        Sigma
   1    0.197547509265371124E+01    0.573320688122133992E+00
   2    0.566872013093286853E+02    0.357781878878935325E-01
   3    0.241649944196441204E+02    0.274164616902480320E-01
   4    0.303669191118768067E+01    0.272647219013568032E+00
   5    0.308926677990841636E+01    0.187396938838826188E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.214753803810553467E+01
   2    0.566736050991300715E+02
   3    0.241684955153505570E+02
   4    0.302037707830544733E+01
   5    0.308060220259836104E+01

MAP Parameters
Dim No.        Parameter
   1    0.214753803810553467E+01
   2    0.566736050991300715E+02
   3    0.241684955153505570E+02
   4    0.302037707830544733E+01
   5    0.308060220259836104E+01
