Nested Sampling Global Log-Evidence           :   -0.152733699163957249E+04  +/-    0.358586212046124619E+00
Nested Importance Sampling Global Log-Evidence:   -0.153100905370144369E+04  +/-    0.507007643360043725E-01

Dim No.       Mean        Sigma
   1    0.744867988904627104E-01    0.878426710685046089E-02
   2   -0.825742685856730718E-01    0.965222343609403038E-02
   3    0.116689053988610555E+00    0.615152426973249122E+00
   4    0.893330413296695047E+00    0.303907856114103925E+00
   5    0.559464277464113824E+01    0.262926113352904300E+01
   6    0.151927718587667471E+03    0.826614719361040500E+02
   7    0.236981923320906390E+03    0.440954342677864659E+02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.789279527476363374E-01
   2   -0.874048030913838342E-01
   3    0.305927522641170836E-14
   4    0.832147867654611462E+00
   5    0.861004241284506300E+01
   6    0.259757178753123071E+03
   7    0.271169735667626810E+03

MAP Parameters
Dim No.        Parameter
   1    0.789279527476363374E-01
   2   -0.874048030913838342E-01
   3    0.305927522641170836E-14
   4    0.832147867654611462E+00
   5    0.861004241284506300E+01
   6    0.259757178753123071E+03
   7    0.271169735667626810E+03
