Nested Sampling Global Log-Evidence           :   -0.287937371065291291E+04  +/-    0.150573124208633280E+00
Nested Importance Sampling Global Log-Evidence:   -0.288036566048865461E+04  +/-    0.385469070707796999E-01

Dim No.       Mean        Sigma
   1    0.201144770176924137E+01    0.555681486011098014E+00
   2    0.566539984579058640E+02    0.243720008481892077E-01
   3    0.241760049470582352E+02    0.244555051758672225E-01
   4    0.134531402392820013E+03    0.427428370975440046E+02
   5    0.104615545792524767E+01    0.118672194600703801E+00
   6    0.523394003304708662E+02    0.207973742709823632E+02
   7    0.127847607784629530E+00    0.840395718495964006E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.175206935391434504E+01
   2    0.566543369903475877E+02
   3    0.241679880294363372E+02
   4    0.199402569036448199E+03
   5    0.112818543103856950E+01
   6    0.585662307334281564E+02
   7    0.286941753108587577E-01

MAP Parameters
Dim No.        Parameter
   1    0.175206935391434504E+01
   2    0.566543369903475877E+02
   3    0.241679880294363372E+02
   4    0.199402569036448199E+03
   5    0.112818543103856950E+01
   6    0.585662307334281564E+02
   7    0.286941753108587577E-01
